#filename n_pre n_downsample n_trim n_rmplane t_load t_downsample t_trim t_normals t_normals_feature n_plane t_plane
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_139/room_2/complete_cloud.pcd 4420319 481225 401989 354164 1.59347 1.04734 0.106895 1.26799 0.830585 2 55.9746
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_141/room_2/complete_cloud.pcd 4387533 505271 414116 348280 1.53719 1.04635 0.117961 1.30577 0.837065 3 75.716
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_144/room_2/complete_cloud.pcd 4480987 489416 410067 267516 1.37817 0.435106 0.0421064 1.08404 0.487612 6 87.0092
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_146/room_2/complete_cloud.pcd 4204080 463299 377380 309368 1.3013 1.03181 0.104353 1.10276 0.757958 3 41.7258
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_148/room_2/complete_cloud.pcd 4456798 513460 426992 337259 1.47797 1.08716 0.117887 1.52324 0.732825 4 86.0514
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_150/room_2/complete_cloud.pcd 4470992 502908 418092 320464 1.4939 1.08342 0.115499 1.19036 0.720152 4 96.0053
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_152/room_2/complete_cloud.pcd 4455040 484208 396030 306079 1.59697 1.09793 0.11517 1.19541 0.671363 4 82.3381
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_156/room_2/complete_cloud.pcd 4460562 516392 418059 292591 1.58151 0.724149 0.120655 1.24047 0.634454 5 108.297
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_158/room_1/complete_cloud.pcd 4475629 500959 415959 266917 1.33606 1.09117 0.106622 1.29205 0.576975 6 119.738
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_162/room_2/complete_cloud.pcd 4469018 493853 410369 336229 1.64093 1.08157 0.111403 1.32301 0.784842 3 78.909
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_164/room_1/complete_cloud.pcd 4455309 495576 410985 317352 1.58207 1.10454 0.122575 1.20648 0.700678 4 98.268
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_166/room_2/complete_cloud.pcd 4473983 515704 428378 302162 1.70836 1.10004 0.115882 1.3509 0.733442 5 113.297
